Frequency (Hz),Power (dB)
121.260054,-68.653582
121.360021,-64.348930
121.459989,-62.522659
121.559956,-61.994892
121.659923,-89.867950
121.759890,-67.412420
121.859857,-62.723030
121.959824,-65.718652
122.059791,-65.078741
122.159758,-62.038080
122.259725,-68.249670
122.359692,-70.496871
122.459659,-62.212061
122.559626,-65.302815
122.659593,-70.268398
122.759560,-61.748071
122.859528,-64.092952
122.959495,-80.713118
123.059462,-62.567050
123.159429,-71.787346
123.259396,-66.152230
123.359363,-65.883973
123.459330,-59.532895
123.559297,-63.880130
123.659264,-65.728186
123.759231,-67.004423
123.859198,-66.385604
123.959165,-59.499011
124.059132,-64.240117
124.159099,-69.654898
124.259066,-62.401622
124.359034,-67.452184
124.459001,-60.443032
124.558968,-57.021898
124.658935,-60.366379
124.758902,-65.744621
124.858869,-59.231092
124.958836,-58.843404
125.058803,-66.983526
125.158770,-59.496536
125.258737,-68.230691
125.358704,-67.128850
125.458671,-60.547810
125.558638,-63.021516
125.658605,-76.672416
125.758573,-65.027103
125.858540,-60.919975
125.958507,-62.844630
126.058474,-58.507399
126.158441,-68.448860
126.258408,-72.943594
126.358375,-64.517449
126.458342,-70.508175
